year,month,circle,type_of_connection,service_provider,value,notes
2025,February,Uttar Pradesh (West),wireless,Vodafone Idea,14411142,
2025,February,West Bengal,wireless,Vodafone Idea,11722068,
2025,February,All India,wireless,Vodafone Idea,205900110,
2025,February,Andhra Pradesh,wireless,BSNL,6903380,
2025,February,Assam,wireless,BSNL,2967914,
2025,February,Bihar,wireless,BSNL,5782332,
2025,February,Delhi,wireless,BSNL,,
2025,February,Gujarat,wireless,BSNL,3302506,
2025,February,Haryana,wireless,BSNL,4204949,
2025,February,Himachal Pradesh,wireless,BSNL,1672546,
2025,February,Jammu and Kashmir,wireless,BSNL,862014,
2025,February,Karnataka,wireless,BSNL,4568771,
2025,February,Kerala,wireless,BSNL,8749409,
2025,February,Kolkata,wireless,BSNL,1453411,
2025,February,Madhya Pradesh,wireless,BSNL,5150121,
2025,February,Maharashtra,wireless,BSNL,5299872,
2025,February,Mumbai,wireless,BSNL,,
2025,February,North East,wireless,BSNL,1287306,
2025,February,Odisha,wireless,BSNL,5573420,
2025,February,Punjab,wireless,BSNL,4060849,
2025,February,Rajasthan,wireless,BSNL,5622038,
2025,February,Tamil Nadu,wireless,BSNL,7803561,
2025,February,Uttar Pradesh (East),wireless,BSNL,8081460,
2025,February,Uttar Pradesh (West),wireless,BSNL,4995971,
2025,February,West Bengal,wireless,BSNL,2669657,
2025,February,All India,wireless,BSNL,91011487,
2025,February,Andhra Pradesh,wireless,MTNL,,
2025,February,Assam,wireless,MTNL,,
2025,February,Bihar,wireless,MTNL,,
2025,February,Delhi,wireless,MTNL,789439,
2025,February,Gujarat,wireless,MTNL,,
2025,February,Haryana,wireless,MTNL,,
2025,February,Himachal Pradesh,wireless,MTNL,,
2025,February,Jammu and Kashmir,wireless,MTNL,,
2025,February,Karnataka,wireless,MTNL,,
2025,February,Kerala,wireless,MTNL,,
2025,February,Kolkata,wireless,MTNL,,
2025,February,Madhya Pradesh,wireless,MTNL,,
2025,February,Maharashtra,wireless,MTNL,,
2025,February,Mumbai,wireless,MTNL,210840,
2025,February,North East,wireless,MTNL,,
2025,February,Odisha,wireless,MTNL,,
2025,February,Punjab,wireless,MTNL,,
2025,February,Rajasthan,wireless,MTNL,,
2025,February,Tamil Nadu,wireless,MTNL,,
2025,February,Uttar Pradesh (East),wireless,MTNL,,
2025,February,Uttar Pradesh (West),wireless,MTNL,,
