year,month,circle,type_of_connection,service_provider,value,unit,notes
2025,February,Maharashtra,wireless,BSNL,5299872,value in absolute number,
2025,February,Mumbai,wireless,BSNL,,value in absolute number,
2025,February,North East,wireless,BSNL,1287306,value in absolute number,
2025,February,Odisha,wireless,BSNL,5573420,value in absolute number,
2025,February,Punjab,wireless,BSNL,4060849,value in absolute number,
2025,February,Rajasthan,wireless,BSNL,5622038,value in absolute number,
2025,February,Tamil Nadu,wireless,BSNL,7803561,value in absolute number,
2025,February,Uttar Pradesh (East),wireless,BSNL,8081460,value in absolute number,
2025,February,Uttar Pradesh (West),wireless,BSNL,4995971,value in absolute number,
2025,February,West Bengal,wireless,BSNL,2669657,value in absolute number,
2025,February,All India,wireless,BSNL,91011487,value in absolute number,
2025,February,Andhra Pradesh,wireless,MTNL,,value in absolute number,
2025,February,Assam,wireless,MTNL,,value in absolute number,
2025,February,Bihar,wireless,MTNL,,value in absolute number,
2025,February,Delhi,wireless,MTNL,789439,value in absolute number,
2025,February,Gujarat,wireless,MTNL,,value in absolute number,
2025,February,Haryana,wireless,MTNL,,value in absolute number,
2025,February,Himachal Pradesh,wireless,MTNL,,value in absolute number,
2025,February,Jammu and Kashmir,wireless,MTNL,,value in absolute number,
2025,February,Karnataka,wireless,MTNL,,value in absolute number,
2025,February,Kerala,wireless,MTNL,,value in absolute number,
2025,February,Kolkata,wireless,MTNL,,value in absolute number,
2025,February,Madhya Pradesh,wireless,MTNL,,value in absolute number,
2025,February,Maharashtra,wireless,MTNL,,value in absolute number,
2025,February,Mumbai,wireless,MTNL,210840,value in absolute number,
2025,February,North East,wireless,MTNL,,value in absolute number,
